전시 항목,설명
곡옥,"콤마(,) 모양의 작은 옥 장신구. 청록색을 띠며 사리 봉안 시 공양물로 함께 넣어 복덕과 수호를 기원한 예가 많다."
유리 구슬,"청색·녹색 계열의 유리제 구슬. 끈으로 엮어 장식이나 공양구로 사용되었으며, 색채 대비로 신성성과 장엄을 더한다."
금제 고리,금으로 만든 원형 고리 장식. 끈·구슬을 연결하거나 공양 세트를 구성하는 부속품으로 사용되었다.
연화문 와당,지붕기와의 끝판(암막새)에 새긴 연꽃무늬 장식. 중앙 화판과 주변의 잎이 입체적으로 표현되어 사찰 건축의 장엄과 불교적 상징을 드러낸다.
금동보살입상,"소형의 금동 불교 조각. 화려한 보관과 영락 장식을 갖추고 정면을 향해 서 있으며, 온화한 미소와 단정한 신체 비례가 특징이다."
금동보살입상(소형),"작은 규모의 금동제 보살상. 연화대 위에 서서 한 손을 들고 설법하는 자세를 취하며, 금빛 표면이 신성한 광휘를 상징한다."
치미,"지붕 용마루 양끝에 세우는 특수기와. 깃을 펼친 듯한 형태로 바람과 빗물을 제어하고, 외관의 장엄을 더하는 상징적 장식이다."
금속제 건물 모형,"지붕과 처마, 기단부를 갖춘 소형 건물 형상의 금속제 유물. 건축 구조의 상징적 재현물로 의례·장식용으로 사용되었을 가능성이 있다."
석조 사리구,사리를 봉안하기 위해 내부가 파여 있는 석제 용기(석함). 가장자리에는 봉안 사실을 기록한 글씨가 새겨져 있어 당시 의식과 후원 정보를 전한다.
금동 장식편,"연화문·당초문 계열의 문양이 돋을새김된 금동제 장식의 파편. 원형 장식을 구성하던 일부로, 도금과 선각이 어우러진 화려한 공예 수준을 보여 준다."
석비,"정면에 방형 구획을 나누어 글자를 새긴 석조 비석. 건립 목적과 시기, 관련 인물 등을 기록하여 역사적 배경을 전한다."
금동대향로,"봉황이 꼭지에 앉고 산형 뚜껑에는 산수·선인·동물이 빽빽하게 새겨진 향로. 연꽃잎 모양의 중대와 용이 받침을 이루며, 불교 의식에서 향을 피워 신성한 공간을 연출하는 데 쓰였다."
토기 옹,"입이 넓고 몸통이 불룩한 대형 저장용 토기. 곡물·물·발효식품을 담는 생활 그릇으로, 표면에는 성형 흔적과 마연 자국이 남아 있다."
토기 호(손잡이 달린),"양쪽에 작은 고리 손잡이가 붙은 토기 항아리. 운반과 걸어 보관하기에 편하며, 부장품으로도 함께 묻히는 예가 많다."
청동단검,잎형의 날과 짧은 자루를 가진 청동기 시대 단검. 권위의 상징이자 의장용으로 무덤에 부장되었다.
청동방울,속에 추를 넣어 흔들면 맑은 소리가 나는 작은 종. 마구 장식이나 의례에서 소리로 악귀를 막고 신을 부르는 의미를 지닌다.
청동거울,뒤면에 무늬를 새기고 앞면을 광택 내어 비추어 보던 거울. 장식성과 상징성 때문에 무덤 부장품으로 애용되었다.
유리 곡옥,"콤마 모양으로 만든 유리 옥 장신구. 푸른 계열의 반투명 광택이 특징이며, 목걸이나 공양구로 사용되었다."
금동귀걸이,금박 또는 도금을 입힌 고리형 귀걸이. 일부는 작은 구슬을 매달아 움직임에 따라 빛을 반사하게 했다.
은제 팔찌,가는 은선을 꼬아 만든 손목 장신구. 단순한 고리형으로 제작되어 실용적이면서도 세련된 인상을 준다.
환두대도,"자루 끝이 고리 모양(환두)인 철제 장검. 무덤의 위세품으로 많이 출토되며, 고리에는 장식끈이나 장신구를 달았다."
철제 낫,"곡물을 베거나 풀을 거두는 농기구. 얇고 굽은 날이 특징으로, 농경의 보급과 생산력을 보여 주는 대표 유물이다."
철부(도끼),나무를 찍거나 다듬는 철제 도끼. 넓은 날과 두툼한 몸통을 갖추어 건축과 목공 작업에 쓰였다.
탄화 곡물(보리·잡곡),"그릇에 담긴 탄화된 곡물 종자. 제의 후 화재·매몰 과정에서 탄화되어 남았으며, 당시의 재배 작물과 곡물 가공을 알려준다."
탄화된 벼,불에 그을려 숯화된 쌀 낟알. 농업의 보급과 저장·제의 관행을 보여 주는 자료로 출토되었다.
새모양 토기손잡이,그릇의 어깨에 새의 머리·부리를 본떠 부착한 손잡이. 풍요와 길상(吉祥)을 기원하는 상징 장식으로 쓰였다.
남근모양 토기손잡이,풍요와 다산을 빌기 위한 상징물이 붙은 토기 손잡이. 논치 유적과 같은 제의 공간에서 종종 확인된다.
가락바퀴(방추차),실을 잣는 방추의 균형추로 쓰인 작은 원판형 토기. 직조 활동의 흔적을 알려 주는 생활 유물이다.
석부(돌도끼),"암석을 다듬어 만든 도끼. 목재를 자르거나 토목 작업에 쓰였으며, 일부는 의례용으로도 사용되었다."
갈돌·갈판,곡물을 가루 내거나 빻는 데 쓰인 연마 도구 한 벌. 생활과 제의에서 식재료 가공에 필수였다.
회청색 토기 단지,회청색으로 그을린 표면의 저장용 단지. 넓은 어깨와 단정한 입둘레가 특징으로 곡물·물 등을 담았다.
철제 삽,넓은 날과 짧은 자루가 달린 철제 삽. 토목·농경 작업에 사용되었으며 묻힌 상태로 부식이 진행되어 있다.
철제 끌,끝이 납작한 목공용 철제 끌. 가구·도구 제작과 수리 과정에서 사용되었다.
철제 칼,"일상용 단도형 칼. 날과 자루가 구분되며, 일부는 부장품으로 함께 묻혔다."
철제 화살촉,몸통이 가늘고 끝이 뾰족한 철촉. 사냥과 무기 체계의 변화를 보여 주는 유물이다.
말재갈,말의 입에 물려 방향을 제어하는 철제 장구. 승마·운송 기술의 발달을 말해준다.
말방울,속에 추를 넣은 구형 청동 방울. 주행 시 소리를 내어 존재를 알리고 악귀를 막는 의미가 있다.
간돌검(마제석검),돌을 갈아 만든 좁고 긴 칼날형 석기. 의장·의례용 상징물로 무덤에 부장되는 예가 많다.
간돌창(마제석창),끝이 뾰족하고 자루 끼움부가 있는 창날형 석기. 수렵·의장용으로 사용되었다.
반달돌칼,초승달 모양의 석기로 몸통에 구멍을 뚫어 나무자루에 묶어 쓰는 수확용 낫. 곡식 이삭을 쓸어 베기에 적합하다.
방추(실잣기 막대),가락바퀴(방추차)와 함께 쓰는 실잣기 도구. 막대 끝에 실을 감아 회전시켜 가는 실을 뽑는다.
숫돌,석제·금속제 도구의 날을 세우고 표면을 다듬는 연마용 돌. 장시간 사용으로 매끈한 연마면이 형성되어 있다.
송국리형 토기,입이 넓고 바닥이 뾰족한 청동기시대 대표 토기. 생활용 저장·조리 그릇으로 쓰였고 지역별로 굽·몸체 비례가 다소 차이를 보인다.
옹관,"사람의 유골을 담아 묻던 항아리형 관. 작은 크기는 유아장이나 일부 성인의 납골용으로 쓰였으며, 용도를 표시하는 구멍이 뚫린 예도 있다."
마제석검(손잡이부 표현형),어깨와 손잡이부를 표현하여 금속검을 모방한 갈아 만든 돌검. 권위 상징의 의장용으로 무덤에 부장되는 경우가 많다.
석촉,뾰족한 끝과 자루 끼움부를 갖춘 돌 화살촉. 수렵과 전투에 사용되었으며 크기에 따라 기능이 구분된다.
자루달린 석도,"돌날을 나무자루에 결속한 도끼·자귀형 도구. 벌목과 토목, 가공 작업에 쓰였으며 결속부가 뚜렷하다."
붉은간토기 사발,표면을 문질러 광택을 낸 적갈색 사발. 조리·제의에 두루 사용되었고 사용 흔적이 안쪽 바닥에 남아 있다.
마제석창,"돌을 정교하게 갈아 만든 창날. 자루 끼움부가 분명하여 투창·의장용으로 사용되었고, 광택이 도는 표면에서 공정의 정밀함이 드러난다."
홈자귀,몸체 측면에 홈을 파 자루를 묶어 쓰는 자귀형 석기. 목재를 깎고 다듬는 데 적합하여 주거·건축 작업에 널리 쓰였다.
석끌,끝을 납작하게 만든 끌형 석기. 목재나 뼈·뿔을 파거나 홈을 내는 정밀 작업용 도구다.
석판,"납작한 판석으로 곡물 빻기, 가죽 다듬기, 작업대 등 다목적의 기저 도구로 활용되었다."
삼각형 석칼,"삼각 형태의 얇은 석제 칼날. 한쪽에 구멍을 뚫어 끈으로 고정했으며, 식물 채집과 가공에 쓰였다."
첨두형 석칼,끝이 날카롭게 뻗은 칼날형 석기. 베기와 찌르기 모두에 적합한 범용 소도구다.
민무늬토기 항아리,"청동기시대의 대표 생활 토기로, 문양 없이 매끈한 표면과 풍만한 몸체가 특징. 저장·조리에 널리 사용되었다."
옹관(대형),"큰 항아리를 관으로 사용한 매장용 용기. 바닥이 뾰족해 고정대를 사용해 세우며, 지역·시기에 따라 형태가 다소 차이를 보인다."
근대박물관 성립,"부여지역 근대박물관의 모태는 재단법인 부여고적보존회이다. 1929년 2월 20일 부소산의 부여 객사 건물에 진열관을 마련하여 부여의 유적을 조사하고 관광 명소로 알리는 활동을 하였다. 1930년대 말 부여가 내선일체의 성지로 부각되고, 부여에 신궁 건립이 결정되면서 1939년 4월 1일, 조선총독부박물관 부여분관이 설립되었다. 전시는 석기, 금석병용시대부터 조선시대까지 시대순으로 구성되었으며, 백제와 일본 아스카 문화의 관계에 중점을 두었다."
홍사준,"홍사준 관장은 교사로 재직하다 1932년부터 부여군청에 근무하며 부여의 고적 보존을 위해 힘썼다, 1945년 국립박물관 부여분관장에 임명되어 1966년 퇴임 때까지 20년 넘게 근무하였다. 해방 직후에 중책을 맡아 열악한 조건에서도 박물관 운영과 지역 문화유산 보존 등 여러 방면에서 그의 손을 거치지 않은 게 없을 정도였다. 초창기 고고미술사학 연구를 이끈 학자였으며, 격변의 시대에도 흔들리지 않는 마음을 시조에 담아냈던 문학가이기도 하였다."
분청사기 물고기 무늬 병,철화(산화철 안료)로 물고기 문양을 그린 분청사기 병. 조선시대 유물.
백자 항아리,순백의 유약을 입힌 둥근 항아리형 백자. 조선시대 백자.
백자 산수 무늬 대접,"대접 외면에 산수풍경을 청화 안료로 그리고, 내면에는 꽃무늬 장식을 넣은 백자 대접."
돌화살촉,사냥·전투에 쓰인 석제 화살촉.
간돌검,표면을 곱게 갈아 만든 석검.
돌도끼,목재 절단·가공 등에 사용된 석제 도끼(전시 안내에는 청동기 시대 유물로 분류됨).
조개날돌도끼,날 부분에 조개껍데기를 끼워 날을 보강한 형태의 석제 도끼.
연꽃무늬 수막새,"지붕 처마 끝을 마감하는 원형 막새기와로, 연꽃 문양으로 장식됨."
백자 모란 무늬 합,"사발형 합에 내외면을 청화 안료로 모란과 잎사귀를 화려하게 장식한 뚜껑그릇. 푸른빛의 번짐과 농담이 자연스러우며, 모란문은 부귀와 번영을 상징하여 의례·연향용기로 추정."
수복강녕이 쓰인 항아리,"백자에 청화로 ‘壽·福·康·寧’ 등 길상 문자를 원권 안에 배치한 항아리. 무병장수와 안녕을 기원한 생활자기로, 서민층의 염원을 담은 길상문양이 특징."
백자 난초 무늬 병,"백자에 청화로 사군자 중 난초를 그린 병. 가는 선묘와 여백미로 고아한 품격을 표현하고, 잎과 꽃의 선이 번지는 수묵화적 효과가 두드러짐."
큰항아리,"대형 저장용 토기 항아리. 넓은 몸체와 짧은 목이 특징으로, 보관·저장에 쓰임."
독널(옹관),대형 항아리를 관으로 사용한 매장용 토기. 시신이나 유골을 항아리에 넣어 장송하던 독널(옹관) 장례문화의 유물.
백자 국화 무늬 두 귀 달린 잔,"잔 몸체 양쪽에 작은 귀(손잡이)가 달린 백자 잔. 청화로 국화문을 장식했으며, 국내에서 청화 안료를 자급하려는 시도와 함께 은은한 푸른빛이 특징."
이형토기(병),입과 몸체 형태가 비정형적인 토기 병. 실사용 또는 의례용으로 보이며 독특한 제작법이 드러남.
방울(토제),토기로 만든 방울. 상·하에 구멍과 홈이 있어 흔들면 울림이 나도록 만든 소리 도구.
세발토기,세 개의 발을 가진 토기. 가열·조리 또는 제의용 받침기능을 겸한 용기로 추정.
뚜껑접시,덮개(뚜껑)가 함께 남아 있는 접시형 토기. 내용물의 보호·보관을 위한 실용기.
그릇받침,그릇을 안정적으로 올려두기 위한 받침 토기. 제기·상차림 등에 사용.
"단지, 그릇받침","넓은 입의 단지를 투공(구멍) 있는 그릇받침 위에 올린 형태. 백제 토기로 보관/제사 등에 사용. (박만식 교수 기증, 논산 연산면 출토 표기)"
굽다리단지,굽(받침대)이 달린 단지. 높은 굽으로 안정감과 위계를 강조한 제사용/저장용 토기.
굽다리접시,"굽(받침대)이 달린 접시. 삼국시대 백제·신라에 공통되나, 신라는 굽에 네모난 구멍을 뚫은 예가 많고 백제는 기가 짧고 단정한 형태가 흔함."
광구단지(넓은입 단지),입지름이 큰 저장용 단지(廣口壺). 생활용 저장·조리 등에 쓰임. (박만식 교수 기증 유물 표기)
이중단지,몸통이 두 겹 구조로 이루어진 단지. 겹몸통으로 단열·보관 기능을 높인 특이 구조의 토기.
입큰구연단지,큰 구연과 넓은 입이 특징인 단지. 내용물 투입·보관에 적합한 생활용 토기.
손잡이사발,좌우에 작은 손잡이가 달린 사발. 들거나 따르기 편하도록 제작된 실용기.
두 귀 단지,몸체 양옆에 ‘귀’(루프 손잡이)가 달린 단지. 운반과 고정에 유리한 구조.
항아리(토기),일상 저장용 토기 항아리. 표면에 성형 흔적과 질감이 남아 있는 전형적 생활 토기.
기와,주로 건물 지붕에 올려 지붕을 덮는 데 쓰이는 건축 재료이다.
비석머리(개석/이수),"비석 윗부분을 장식하는 석재로, 비신을 덮는 개석 및 장식적 이수에 해당. 연꽃 등 문양이 새겨져 장엄함을 더하며, 상단부 덮개 역할을 함."
보광사지 대보광사비,"고려 후기 원명국사(圓明國師)의 생애와 업적을 기리는 비. 1358년에 앞면을 새기고, 1750년(영조 연간)에 뒷면에 다시 글을 새겼다는 내용이 전함. 1963년 보광사터에서 국립부여박물관으로 옮겨왔으며, 고려 말기의 비석 양식을 보여 불교미술사 연구의 중요 자료."
동남리 석탑(오층석탑),"원래 오층 석탑으로 전하나 일부 층과 부재가 결실됨. 이층 기단 위에 탑신을 올린 구조로, 비례는 고려시대 양식적 특징을 보임."
연꽃무늬 석등받침,"석등의 받침부에 해당하는 연화대 석재. 통일신라 8?10세기 작품으로, 부여 성목리 출토 표기."
동사리 석탑(오층석탑),"원래 부여군 세도면 동사리에 있던 오층 석탑으로, 이층 기단 위에 세운 형식. 하층 기단 사방에 ‘코끼리 눈’ 무늬를 새기고, 상층 기단 상면에는 연꽃무늬의 받침을 두는 등 초기 고려시대의 전형적인 양식을 보여줌. 1993년 현 위치로 이건."
석조여래입상,"1933년 부여 금성산 일대(천왕사터 인근)에서 발견된 서 있는 석조 여래상. 기둥형의 전체 비례에 큰 머리, 좁은 어깨와 통통한 얼굴·몸매 등 소수의 특징적 요소만을 둔 간결한 조형으로, 고려 전기의 지방 양식적 특징을 보여줌."
